model,sample_size,setting,runs,accuracy_mean,accuracy_sd,accuracy_ci95_low,accuracy_ci95_high,precision_mean,precision_sd,precision_ci95_low,precision_ci95_high,recall_mean,recall_sd,recall_ci95_low,recall_ci95_high,f1_mean,f1_sd,f1_ci95_low,f1_ci95_high,roc_auc_mean,roc_auc_sd,roc_auc_ci95_low,roc_auc_ci95_high,pr_auc_mean,pr_auc_sd,pr_auc_ci95_low,pr_auc_ci95_high
CodeBERT,200,D1_to_D1,5,0.825,0.05303300858899107,0.7591508225186187,0.8908491774813813,0.7661513687600644,0.0856955449199709,0.6597462958264828,0.872556441693646,0.96,0.0547722557505166,0.8919912619341743,1.0280087380658256,0.8478673923800099,0.03585779321962866,0.8033440614841618,0.8923907232758579,0.9475,0.045654955919374206,0.8908118848953331,1.004188115104667,0.9450282872782918,0.05774224831444325,0.8733318163709055,1.0167247581856782
LLM_RAG,200,D1_to_D1,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,200,D1_to_D1,5,0.51,0.013693063937629165,0.49299781548354354,0.5270021845164564,0.4,0.5477225575051662,-0.280087380658257,1.0800873806582572,0.02,0.02738612787525831,-0.014004369032912852,0.05400436903291285,0.038095238095238085,0.052164053095730085,-0.026674988634119698,0.10286546482459587,,,,,,,,
TFIDF_LR,200,D1_to_D1,5,0.86,0.03791437722025778,0.8129230827912889,0.9070769172087111,0.8294438170525126,0.04960555740033838,0.767850382317682,0.8910372517873432,0.9099999999999999,0.04183300132670376,0.8580574683158214,0.9619425316841784,0.8669635582794971,0.0348729755228328,0.8236630400625544,0.9102640764964398,0.9364999999999999,0.05035343831358491,0.8739779484602473,0.9990220515397524,0.9221452710252894,0.09248315289574098,0.8073122696342734,1.0369782724163055
CodeBERT,1500,D1_to_D1,5,0.9526666666666666,0.011155467020454333,0.9388153248842189,0.9665180084491142,0.9475101994779415,0.011884957383317823,0.9327530757748896,0.9622673231809933,0.9586666666666668,0.0246756740310957,0.9280277705908436,0.9893055627424899,0.9528520867075618,0.011588324279719122,0.938463281649924,0.9672408917651997,0.9885911111111112,0.0036278960334648713,0.9840864832171317,0.9930957390050907,0.9894885613658243,0.003092508383584669,0.9856487050417839,0.9933284176898647
LLM_RAG,1500,D1_to_D1,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,1500,D1_to_D1,5,0.508,0.006055300708194998,0.5004813511123365,0.5155186488876635,0.7,0.4107919181288746,0.18993446450630724,1.2100655354936927,0.018666666666666658,0.011925695879998867,0.0038589594389450803,0.03347437389438823,0.03633077864576912,0.023111137380576675,0.007634511402765765,0.06502704588877248,,,,,,,,
TFIDF_LR,1500,D1_to_D1,5,0.9019999999999999,0.013457752825457511,0.8852899928199043,0.9187100071800955,0.8844118320898848,0.010951775607631806,0.8708134066014822,0.8980102575782875,0.9253333333333333,0.03812260921465545,0.8779978619539045,0.9726688047127622,0.9039535206055106,0.015342237977330668,0.8849036160571845,0.9230034251538367,0.9604088888888889,0.009356078106282775,0.9487917835399351,0.9720259942378426,0.9543642418033562,0.013351792920887274,0.9377858012220186,0.9709426823846938
CodeBERT,5000,D1_to_D1,5,0.9646000000000001,0.0072663608498339865,0.955577621334804,0.9736223786651963,0.9592617167246388,0.004620260189726822,0.9535249059847208,0.9649985274645567,0.9704,0.011260550608207407,0.9564181797098373,0.9843818202901627,0.9647826794341231,0.007334417420538578,0.9556757973752418,0.9738895614930044,0.9916044000000002,0.0029699425583670906,0.9879167292485426,0.9952920707514578,0.9904567692055448,0.003594234996259315,0.9859939370096056,0.994919601401484
LLM_RAG,5000,D1_to_D1,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,5000,D1_to_D1,5,0.51,0.006666666666666668,0.5017222400119749,0.5182777599880252,1.0,0.0,1.0,1.0,0.01999999999999996,0.013333333333333352,0.003444480023949717,0.0365555199760502,0.03894954818621598,0.025450421402990808,0.007348676191007701,0.07055042018142427,,,,,,,,
TFIDF_LR,5000,D1_to_D1,5,0.9314,0.005079370039680086,0.9250931290881744,0.9377068709118256,0.9245276229111468,0.008397648136422934,0.9141005655505674,0.9349546802717261,0.9396000000000001,0.009939818911831298,0.9272580847085142,0.951941915291486,0.9319527326745384,0.005094250787442436,0.9256273848739499,0.9382780804751268,0.9760496,0.0036489429702312604,0.9715188388823651,0.9805803611176348,0.9660385169301368,0.012902187680559328,0.950018334989118,0.9820586988711555
CodeBERT,200,D1_to_D2,5,0.562,0.021679483388678773,0.535081365976621,0.5889186340233791,0.5368600008459448,0.014804689917845068,0.5184775503703862,0.5552424513215033,0.916,0.049295030175464945,0.854792135740757,0.9772078642592431,0.6763497108972194,0.014073162757084649,0.6588755713608854,0.6938238504335534,0.71259,0.033447578387680026,0.6710593460889193,0.7541206539110806,0.6953312695347647,0.026507696501457154,0.6624176171135934,0.7282449219559359
LLM_RAG,200,D1_to_D2,5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,200,D1_to_D2,5,0.5279999999999999,0.018907670401189056,0.5045230263729406,0.5514769736270593,0.685930735930736,0.11259677013824647,0.5461233801360503,0.8257380917254216,0.09400000000000001,0.04393176527297759,0.03945150868300528,0.14854849131699474,0.16352868346953228,0.07117117562352848,0.07515799698795947,0.25189936995110507,,,,,,,,
TFIDF_LR,200,D1_to_D2,5,0.608,0.033279122584587505,0.5666785115949078,0.6493214884050922,0.5750574988920854,0.026173384724592026,0.5425589493684231,0.6075560484157476,0.836,0.04722287581247037,0.777365055212008,0.8946349447879919,0.6807383984898763,0.024228804993667294,0.6506543636097399,0.7108224333700126,0.6755599999999999,0.027703235370620496,0.6411618900065353,0.7099581099934645,0.6667349752492155,0.031959176705540986,0.6270524161217128,0.7064175343767183
CodeBERT,1500,D1_to_D2,5,0.6058666666666667,0.02116286055018711,0.5795895046224926,0.6321438287108407,0.5765921965269917,0.018007440144228212,0.5542330064000942,0.5989513866538891,0.8018666666666666,0.04488602851172686,0.7461333010413076,0.8576000322920256,0.670220267727121,0.01840820938757872,0.6473634568591679,0.6930770785950741,0.6503511111111111,0.03596285223585959,0.6056973322171224,0.6950048900050998,0.6172885839735989,0.04476693565142107,0.5617030916653246,0.6728740762818731
LLM_RAG,1500,D1_to_D2,5,0.4993333333333333,0.0014907119849998942,0.49748236992986805,0.5011842967367985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Prompt_LLM,1500,D1_to_D2,5,0.5226666666666666,0.009545214042184216,0.5108147180353374,0.5345186152979958,0.6513842508570276,0.05735702909019701,0.5801660927918038,0.7226024089222514,0.09999999999999998,0.022607766610417565,0.07192875012005129,0.12807124987994867,0.1724377259519582,0.03412900742104543,0.1300609661428169,0.2148144857610995,,,,,,,,
TFIDF_LR,1500,D1_to_D2,5,0.6172,0.010191499726078935,0.6045455817024242,0.6298544182975757,0.5903334171325058,0.009024698348386847,0.5791277740986648,0.6015390601663467,0.7666666666666667,0.014236104336041762,0.7489902084379312,0.7843431248954023,0.6669693741100504,0.008069468808986761,0.6569498052053033,0.6769889430147975,0.6783347555555557,0.00962535993183029,0.666383292658449,0.6902862184526624,0.6749856139891268,0.01203628676840199,0.6600405900367458,0.6899306379415079
CodeBERT,5000,D1_to_D2,5,0.60388,0.012934140868260266,0.5878201429361852,0.6199398570638147,0.5761941150304077,0.010766255359148581,0.5628260433554846,0.5895621867053309,0.78696,0.017042535022701286,0.765798897824185,0.808121102175815,0.6651802698926099,0.00944801698386384,0.6534490073493284,0.6769115324358914,0.650323648,0.01491758408446621,0.6318010209021407,0.6688462750978592,0.621342008751198,0.023699714697059726,0.5919149262441583,0.6507690912582378
LLM_RAG,5000,D1_to_D2,5,0.5006666666666667,0.0014907119849998447,0.4988157032632015,0.5025176300701318,0.2,0.44721359549995804,-0.3552890210395599,0.75528902103956,0.00133333333333332,0.00298142396999969,-0.0023685934735970414,0.0050352601402636815,0.00264900662251654,0.005923358880794108,-0.00470581484820606,0.01000382809323914,,,,,,,,
Prompt_LLM,5000,D1_to_D2,5,0.54,0.014907119849998608,0.521490365965348,0.558509634034652,0.7733471593765711,0.08797731808412602,0.6641088908529906,0.8825854279001515,0.11466666666666665,0.036938387139186846,0.06880160120422532,0.16053173212910798,0.197746377945435,0.054592890920092715,0.1299603507320906,0.2655324051587794,,,,,,,,
TFIDF_LR,5000,D1_to_D2,5,0.62236,0.008162597625756147,0.612224796396275,0.632495203603725,0.5990641518827795,0.008660127144810912,0.5883111837872006,0.6098171199783584,0.74088,0.009844389264956975,0.7286565762653993,0.7531034237346007,0.6623897369305518,0.0045216814681666925,0.6567753278401841,0.6680041460209195,0.686411664,0.01075400958993813,0.6730587974558357,0.6997645305441642,0.6793267983683863,0.012081193244435077,0.6643260156614287,0.6943275810753439
